Partida de Balance y Cuenta de Resultados;Importe en Moneda de la Empresa;Periodo;Año
132801 ACCIONISTAS;5,000,000,00 COP;8;2016
132801 ACCIONISTAS;5,000,000,00 COP;9;2016
132801 ACCIONISTAS;5,000,000,00 COP;10;2016
132801 ACCIONISTAS;5,000,000,00 COP;11;2016
132801 ACCIONISTAS;5,488,716,28 COP;12;2016
132801 ACCIONISTAS;5,488,716,28 COP;1;2017
132801 ACCIONISTAS;5,488,716,28 COP;2;2017
132801 ACCIONISTAS;5,628,389,17 COP;3;2017
132801 ACCIONISTAS;5,628,389,17 COP;4;2017
132801 ACCIONISTAS;5,628,389,17 COP;5;2017
132801 ACCIONISTAS;5,628,389,17 COP;6;2017
132801 ACCIONISTAS;2,247,333,17 COP;7;2017
132801 ACCIONISTAS;2,265,662,17 COP;8;2017
132801 ACCIONISTAS;2,144,318,28 COP;9;2017
132801 ACCIONISTAS;2,162,647,28 COP;10;2017
132801 ACCIONISTAS;2,162,647,28 COP;11;2017
132801 ACCIONISTAS;2,162,647,28 COP;12;2017
132801 ACCIONISTAS;2,162,647,28 COP;1;2018
132801 ACCIONISTAS;2,162,647,28 COP;2;2018
132801 ACCIONISTAS;2,162,647,28 COP;3;2018
132801 ACCIONISTAS;2,162,647,28 COP;5;2018
132801 ACCIONISTAS;2,162,647,28 COP;6;2018
132801 ACCIONISTAS;2,162,647,28 COP;7;2018
132801 ACCIONISTAS;2,162,647,28 COP;4;2018
132801 ACCIONISTAS;2,162,647,28 COP;8;2018
132801 ACCIONISTAS;2,162,647,28 COP;9;2018
132801 ACCIONISTAS;2,162,647,28 COP;10;2018
132801 ACCIONISTAS;2,162,647,28 COP;11;2018
132801 ACCIONISTAS;2,162,647,28 COP;12;2018
132801 ACCIONISTAS;2,162,647,28 COP;1;2019
132801 ACCIONISTAS;2,162,647,28 COP;2;2019
132801 ACCIONISTAS;2,162,647,28 COP;3;2019
132801 ACCIONISTAS;2,162,647,28 COP;4;2019
132801 ACCIONISTAS;2,162,647,28 COP;5;2019
132801 ACCIONISTAS;2,162,647,28 COP;6;2019
132801 ACCIONISTAS;2,162,647,28 COP;7;2019
132801 ACCIONISTAS;2,162,647,28 COP;8;2019
132801 ACCIONISTAS;2,162,647,28 COP;9;2019
132801 ACCIONISTAS;2,162,647,28 COP;10;2019
132801 ACCIONISTAS;2,162,647,28 COP;12;2019
132801 ACCIONISTAS;2,162,647,28 COP;1;2020
132801 ACCIONISTAS;2,162,647,28 COP;2;2020
132801 ACCIONISTAS;2,162,647,28 COP;3;2020
132801 ACCIONISTAS;2,162,647,28 COP;4;2020
132801 ACCIONISTAS;2,162,647,28 COP;5;2020
