ID Cuenta de mayor;Nombre Cuenta de mayor;Fecha de contabilización;Asiento contable;Texto de cabecera;Posición de asiento contable;Texto de posición;Tipo de asiento contable;ID doc.original;Ejercicio fiscal;ID Centro de costos;Nombre centro de costos;Centro de beneficio;Nombre centro de beneficio;ID activo fijo;Nombre activo fijo;ID activo;Nombre activo;ID Clase de activo fijo;Nombre Clase de Activo;Asiento contable anulado;Texto de cabecera;Asiento contable de anulación;Texto de cabecera;ID de cliente/proveedor de contrapartida;Nombre de cliente/proveedor de contrapartida;ID Socio comercial;Nombre Socio comercial;Importe en debe en moneda de empresa;Importe en haber en moneda de empresa;Saldo en moneda de empresa;Importe en debe en moneda de transacción;Importe en haber en moneda de transacción;Saldo en moneda de transacción
2205010002;CXP NO FACTURADAS;28/2/2019;200000002043;Evaluacion De Condiciones Ambientales;2;Evaluacion De Condiciones Ambientales;Factura de proveedor;FP-52806;2019;#;Sin asignar;TASG00;Gerencia Sistema de Gestión Integral;#;Sin asignar;#;0;#;Sin asignar;#;#;#;#;P0001004;ASOCIACIÓN POR LOS DERECHOS DE LAS COMUNIDADES NEGRAS DE LA;P0001004;ASOCIACIÓN POR LOS DERECHOS DE LAS COMUNIDADES NEGRAS DE LA;4900000;;4900000;4900000;;4900000
2205010002;CXP NO FACTURADAS;28/2/2019;200000002043;Evaluacion De Condiciones Ambientales;3;IVA DESCONTABLE GASTOS;Factura de proveedor;FP-52806;2019;#;Sin asignar;TASG00;Gerencia Sistema de Gestión Integral;#;Sin asignar;#;0;#;Sin asignar;#;#;#;#;P0001004;ASOCIACIÓN POR LOS DERECHOS DE LAS COMUNIDADES NEGRAS DE LA;P0001004;ASOCIACIÓN POR LOS DERECHOS DE LAS COMUNIDADES NEGRAS DE LA;931000;;931000;931000;;931000
2335950001;OTROS COSTOS Y GASTOS POR PAGAR;28/2/2019;200000002043;Evaluacion De Condiciones Ambientales;1;Evaluacion De Condiciones Ambientales;Factura de proveedor;FP-52806;2019;#;Sin asignar;#;Sin asignar;#;Sin asignar;#;0;#;Sin asignar;#;#;#;#;P0001004;ASOCIACIÓN POR LOS DERECHOS DE LAS COMUNIDADES NEGRAS DE LA;P0001004;ASOCIACIÓN POR LOS DERECHOS DE LAS COMUNIDADES NEGRAS DE LA;;5831000;-5831000;;5831000;-5831000
5110350001;ASESORIA TECNICA;18/2/2019;300000002695;#;2;Evaluacion De Condiciones Ambientales;Confirmación de servicio externo;12434;2019;TASG02;Gestión Ambiental;TASG00;Gerencia Sistema de Gestión Integral;#;Sin asignar;#;0;#;Sin asignar;#;#;#;#;P0001004;ASOCIACIÓN POR LOS DERECHOS DE LAS COMUNIDADES NEGRAS DE LA;P0001004;ASOCIACIÓN POR LOS DERECHOS DE LAS COMUNIDADES NEGRAS DE LA;4900000;;4900000;4900000;;4900000
5115700001;IVA DESCONTABLE;18/2/2019;300000002696;#;2;IVA DESCONTABLE GASTOS;Entrada de mercancías desde proveedor;12434;2019;TASG02;Gestión Ambiental;TASG00;Gerencia Sistema de Gestión Integral;#;Sin asignar;#;0;#;Sin asignar;#;#;#;#;P0001004;ASOCIACIÓN POR LOS DERECHOS DE LAS COMUNIDADES NEGRAS DE LA;P0001004;ASOCIACIÓN POR LOS DERECHOS DE LAS COMUNIDADES NEGRAS DE LA;931000;;931000;0;;0
1245050017;ALIANZAFID 10040000910 TRANSFERENCIAS SALIENTES;14/3/2019;250000001799;EVALUACION CONDICIONES AMBIENTALES;1;EVALUACION CONDICIONES AMBIENTALES;Desembolso;3080;2019;#;Sin asignar;#;Sin asignar;#;Sin asignar;#;0;#;Sin asignar;#;#;#;#;P0001004;ASOCIACIÓN POR LOS DERECHOS DE LAS COMUNIDADES NEGRAS DE LA;#;Sin asignar;;5831000;-5831000;;5831000;-5831000
2205010002;CXP NO FACTURADAS;30/6/2019;200000007356;Evaluacion De Condiciones Ambientales;2;Evaluacion De Condiciones Ambientales;Factura de proveedor;FP-60699;2019;#;Sin asignar;TASG00;Gerencia Sistema de Gestión Integral;#;Sin asignar;#;0;#;Sin asignar;#;#;#;#;P0001004;ASOCIACIÓN POR LOS DERECHOS DE LAS COMUNIDADES NEGRAS DE LA;P0001004;ASOCIACIÓN POR LOS DERECHOS DE LAS COMUNIDADES NEGRAS DE LA;4900000;;4900000;4900000;;4900000
2205010002;CXP NO FACTURADAS;30/6/2019;200000007356;Evaluacion De Condiciones Ambientales;3;IVA DESCONTABLE GASTOS;Factura de proveedor;FP-60699;2019;#;Sin asignar;TASG00;Gerencia Sistema de Gestión Integral;#;Sin asignar;#;0;#;Sin asignar;#;#;#;#;P0001004;ASOCIACIÓN POR LOS DERECHOS DE LAS COMUNIDADES NEGRAS DE LA;P0001004;ASOCIACIÓN POR LOS DERECHOS DE LAS COMUNIDADES NEGRAS DE LA;931000;;931000;931000;;931000
2335950001;OTROS COSTOS Y GASTOS POR PAGAR;30/6/2019;200000007356;Evaluacion De Condiciones Ambientales;1;Evaluacion De Condiciones Ambientales;Factura de proveedor;FP-60699;2019;#;Sin asignar;#;Sin asignar;#;Sin asignar;#;0;#;Sin asignar;#;#;#;#;P0001004;ASOCIACIÓN POR LOS DERECHOS DE LAS COMUNIDADES NEGRAS DE LA;P0001004;ASOCIACIÓN POR LOS DERECHOS DE LAS COMUNIDADES NEGRAS DE LA;;5831000;-5831000;;5831000;-5831000
5110350001;ASESORIA TECNICA;6/6/2019;300000011055;#;2;Evaluacion De Condiciones Ambientales;Confirmación de servicio externo;14785;2019;TASG02;Gestión Ambiental;TASG00;Gerencia Sistema de Gestión Integral;#;Sin asignar;#;0;#;Sin asignar;#;#;#;#;P0001004;ASOCIACIÓN POR LOS DERECHOS DE LAS COMUNIDADES NEGRAS DE LA;P0001004;ASOCIACIÓN POR LOS DERECHOS DE LAS COMUNIDADES NEGRAS DE LA;4900000;;4900000;4900000;;4900000
5115700001;IVA DESCONTABLE;6/6/2019;300000011056;#;2;IVA DESCONTABLE GASTOS;Entrada de mercancías desde proveedor;14785;2019;TASG02;Gestión Ambiental;TASG00;Gerencia Sistema de Gestión Integral;#;Sin asignar;#;0;#;Sin asignar;#;#;#;#;P0001004;ASOCIACIÓN POR LOS DERECHOS DE LAS COMUNIDADES NEGRAS DE LA;P0001004;ASOCIACIÓN POR LOS DERECHOS DE LAS COMUNIDADES NEGRAS DE LA;931000;;931000;0;;0
1245050017;ALIANZAFID 10040000910 TRANSFERENCIAS SALIENTES;1/8/2019;250000006964;EVALUACION CONDICIONES AMBIANTALES;1;EVALUACION CONDICIONES AMBIANTALES;Desembolso;8413;2019;#;Sin asignar;#;Sin asignar;#;Sin asignar;#;0;#;Sin asignar;#;#;#;#;P0001004;ASOCIACIÓN POR LOS DERECHOS DE LAS COMUNIDADES NEGRAS DE LA;#;Sin asignar;;5831000;-5831000;;5831000;-5831000
