ID Cuenta de mayor;Nombre Cuenta de mayor;ID de cliente/proveedor de contrapartida;Nombre de cliente/proveedor de contrapartida;Asiento contable;Asiento contable de anulación;ID centro de costos;Nombre centro de costos;Fecha de contabilización;ID documento original;Periodo contable;Id socio comercial;Nombre socio comercial;Texto cabecera asiento contable;Texto posición asiento contable;Saldo inicial moneda empresa;Importe debe moneda empresa;Importe haber moneda empresa;Saldo moneda empresa
2465250007;RTFTE SERVICIOS 4%;P000872;ECOLOGY COLOMBIA SAS;220000000291;#;#;Sin asignar;31/1/2019;ND-9599;1;#;Sin asignar;#;RETENCION EN LA FUENTE;0;;160957,6;-114002699613,87
2468080001;TARIFA 8/1000 OTROS SERVICIOS;P000872;ECOLOGY COLOMBIA SAS;220000000291;#;#;Sin asignar;31/1/2019;ND-9599;1;#;Sin asignar;#;RETENCION EN LA FUENTE;0;;32191,52;-114720933582,51
7410200001;LAVADO EXTERNO;P000872;ECOLOGY COLOMBIA SAS;200000001702;#;TAMA01;Planeación;31/1/2019;FP-52466;1;P000872;ECOLOGY COLOMBIA SAS;Lavado buses 16 Ene al 31 Ene 2018;Lavado Techo General;0;97199;;-8341027936,56
7410200001;LAVADO EXTERNO;P000872;ECOLOGY COLOMBIA SAS;200000001702;#;TAMA01;Planeación;31/1/2019;FP-52466;1;P000872;ECOLOGY COLOMBIA SAS;Lavado buses 16 Ene al 31 Ene 2018;Polichado General;0;428105;;-8340599831,56
7410200001;LAVADO EXTERNO;P000872;ECOLOGY COLOMBIA SAS;200000001702;#;TAMA01;Planeación;31/1/2019;FP-52466;1;P000872;ECOLOGY COLOMBIA SAS;Lavado buses 16 Ene al 31 Ene 2018;Servicio De Lavado Externo;0;15846682;;-8324753149,56
7410200002;LAVADO INTERNO;P000872;ECOLOGY COLOMBIA SAS;200000001702;#;TAMA01;Planeación;31/1/2019;FP-52466;1;P000872;ECOLOGY COLOMBIA SAS;Lavado buses 16 Ene al 31 Ene 2018;Servicio De Lavado Interno;0;17123080;;-7767370036,9
7410200002;LAVADO INTERNO;P000872;ECOLOGY COLOMBIA SAS;200000001702;#;TAMA01;Planeación;31/1/2019;FP-52466;1;P000872;ECOLOGY COLOMBIA SAS;Lavado buses 16 Ene al 31 Ene 2018;Servicio de Cubrimiento;0;1622740;;-7765747296,9
7410200003;LAVADO GENERAL;P000872;ECOLOGY COLOMBIA SAS;200000001702;#;TAMA01;Planeación;31/1/2019;FP-52466;1;P000872;ECOLOGY COLOMBIA SAS;Lavado buses 16 Ene al 31 Ene 2018;AIU Lavados;0;4023940;;-7155463857,41
7410200004;KIT DE DESMANCHE;P000872;ECOLOGY COLOMBIA SAS;200000001702;#;TAMA01;Planeación;31/1/2019;FP-52466;1;P000872;ECOLOGY COLOMBIA SAS;Lavado buses 16 Ene al 31 Ene 2018;Desmanche;0;2959962;;-6844853542,87
7410350005;CHASIS;P000872;ECOLOGY COLOMBIA SAS;200000001702;#;TAMA01;Planeación;31/1/2019;FP-52466;1;P000872;ECOLOGY COLOMBIA SAS;Lavado buses 16 Ene al 31 Ene 2018;Lavado de Chasis;0;2161635;;-3284208247,78
