ID documento;Estado factura;Tipo documento;Fecha factura;Reembolso;Id documento externo;Fecha contabilizacion;Id pedido compra;Estado;ID proveedor;Nombre proveedor;Importe factura;Importe neto;Importe impuesto;Importe bruto
FP-26407;Pagado;Factura;22/1/2018;#;0000SM29;31/1/2018;6242;Finalizado;P000872;ECOLOGY COLOMBIA SAS;02/10/2018;84472,1146031746;31930459,32;0
FP-28315;Pagado;Factura;19/2/2018;#;SM33;28/2/2018;6596;Finalizado;P000872;ECOLOGY COLOMBIA SAS;03/09/2018;78570,86376569037;37556872,88;0
FP-28316;Pagado;Factura;7/2/2018;#;SM31;28/2/2018;6599;Finalizado;P000872;ECOLOGY COLOMBIA SAS;03/09/2018;75398,57275992438;39885844,99;0
FP-30066;Pagado;Factura;20/3/2018;#;SM38;31/3/2018;6877;Finalizado;P000872;ECOLOGY COLOMBIA SAS;04/05/2018;59328,44125326371;45445586;0
FP-30362;Pagado;Factura;1/3/2018;#;SM36;31/3/2018;#;Sin asignar;P000872;ECOLOGY COLOMBIA SAS;04/17/2018;6097628,4;34469561;0
FP-31144;Pagado;Factura;18/4/2018;#;SM41;30/4/2018;7145;Finalizado;P000872;ECOLOGY COLOMBIA SAS;04/30/2018;91259,16122840691;47546023;0
FP-32119;Pagado;Factura;2/4/2018;#;SM39;30/4/2018;#;Sin asignar;P000872;ECOLOGY COLOMBIA SAS;05/15/2018;5916397;41414779;0
FP-33776;Pagado;Factura;25/5/2018;#;SM44;31/5/2018;7529;Finalizado;P000872;ECOLOGY COLOMBIA SAS;06/07/2018;80913,3896797153;45473325;0
FP-33873;Pagado;Factura;3/5/2018;#;SM42;31/5/2018;#;Sin asignar;P000872;ECOLOGY COLOMBIA SAS;06/15/2018;6648184,285714286;46537290;0
FP-35624;Pagado;Factura;18/6/2018;#;SM47;30/6/2018;7916;Finalizado;P000872;ECOLOGY COLOMBIA SAS;07/12/2018;79234,29565217391;45559720;0
FP-35696;Pagado;Factura;30/6/2018;#;SM48;30/6/2018;#;Sin asignar;P000872;ECOLOGY COLOMBIA SAS;07/17/2018;9127424;45637120;0
FP-35700;Pagado;Factura;1/6/2018;#;SM45;30/6/2018;#;Sin asignar;P000872;ECOLOGY COLOMBIA SAS;07/17/2018;7493013,714285714;52451096;0
FP-37611;Pagado;Factura;16/7/2018;#;SM49;31/7/2018;8544;Finalizado;P000872;ECOLOGY COLOMBIA SAS;08/10/2018;91601,88528138529;42320071;0
FP-37729;Pagado;Factura;30/7/2018;#;SM50;31/7/2018;#;Sin asignar;P000872;ECOLOGY COLOMBIA SAS;08/14/2018;6174861,625;49398893;0
FP-37910;Pagado;Factura;16/8/2018;#;SM51;16/8/2018;8744;Finalizado;P000872;ECOLOGY COLOMBIA SAS;08/31/2018;88615,34979423867;43067060;0
FP-39695;Pagado;Factura;31/8/2018;#;SM52;31/8/2018;#;Sin asignar;P000872;ECOLOGY COLOMBIA SAS;09/12/2018;6277262,875;50218103;0
FP-41435;Pagado;Factura;30/9/2018;#;SM54;30/9/2018;#;Sin asignar;P000872;ECOLOGY COLOMBIA SAS;10/12/2018;6062483,75;48499870;0
FP-41436;Pagado;Factura;19/9/2018;#;SM53;30/9/2018;#;Sin asignar;P000872;ECOLOGY COLOMBIA SAS;10/12/2018;7108343,333333333;42650060;0
FP-43434;Pagado;Factura;16/10/2018;#;SM55;31/10/2018;#;Sin asignar;P000872;ECOLOGY COLOMBIA SAS;11/08/2018;6483276,74;45382937,18;0
FP-45707;Pagado;Factura;30/11/2018;#;SM59;30/11/2018;#;Sin asignar;P000872;ECOLOGY COLOMBIA SAS;12/13/2018;6190615,15625;49524921,25;0
FP-45712;Pagado;Factura;1/11/2018;#;SM57;30/11/2018;#;Sin asignar;P000872;ECOLOGY COLOMBIA SAS;12/13/2018;6503286;52026288;0
FP-45865;Pagado;Factura;16/11/2018;#;SM58;30/11/2018;#;Sin asignar;P000872;ECOLOGY COLOMBIA SAS;12/14/2018;5410805,107142857;37875635,75;0
FP-46164;Cancelada;Factura;17/12/2018;#;SM60;31/12/2018;#;Sin asignar;P000872;ECOLOGY COLOMBIA SAS;01/04/2019;6349721,285714286;44448049;0
FP-48983;Contabilizada;Factura;17/12/2018;#;SM60;31/12/2018;#;Sin asignar;P000872;ECOLOGY COLOMBIA SAS;01/08/2019;6349721,285714286;-44448049;0
FP-48984;Pagado;Factura;17/12/2018;#;SM60;31/12/2018;#;Sin asignar;P000872;ECOLOGY COLOMBIA SAS;01/08/2019;6349721,285714286;44448049;0
FP-49065;Pagado;Factura;31/12/2018;#;SM61;31/12/2018;#;Sin asignar;P000872;ECOLOGY COLOMBIA SAS;01/10/2019;5656084,715;45248677,72;0
ND-4450;Pagado;Nota de crédito;22/1/2018;#;RET-FP-26407;31/1/2018;#;Sin asignar;P000872;ECOLOGY COLOMBIA SAS;02/10/2018;321987,7775;-1287951,11;0
ND-4762;Pagado;Nota de crédito;19/2/2018;#;RET-FP-28315;28/2/2018;#;Sin asignar;P000872;ECOLOGY COLOMBIA SAS;03/09/2018;252483,15;-1514898,9;0
ND-4763;Pagado;Nota de crédito;7/2/2018;#;RET-FP-28316;28/2/2018;#;Sin asignar;P000872;ECOLOGY COLOMBIA SAS;03/09/2018;402210,0575;-1608840,23;0
ND-5014;Pagado;Nota de crédito;20/3/2018;#;RET-FP-30066;31/3/2018;#;Sin asignar;P000872;ECOLOGY COLOMBIA SAS;04/05/2018;458274,765;-1833099,06;0
ND-5251;Pagado;Nota de crédito;1/3/2018;#;RET-FP-30362;31/3/2018;#;Sin asignar;P000872;ECOLOGY COLOMBIA SAS;04/17/2018;347592,215;-1390368,86;0
ND-5292;Pagado;Nota de crédito;18/4/2018;#;RET-FP-31144;30/4/2018;#;Sin asignar;P000872;ECOLOGY COLOMBIA SAS;04/30/2018;479455,635;-1917822,54;0
ND-5498;Pagado;Nota de crédito;2/4/2018;#;RET-FP-32119;30/4/2018;#;Sin asignar;P000872;ECOLOGY COLOMBIA SAS;05/15/2018;417628,02;-1670512,08;0
ND-5683;Pagado;Nota de crédito;25/5/2018;#;RET-FP-33776;31/5/2018;#;Sin asignar;P000872;ECOLOGY COLOMBIA SAS;06/07/2018;458554,435;-1834217,74;0
ND-5757;Pagado;Nota de crédito;3/5/2018;#;RET-FP-33873;31/5/2018;#;Sin asignar;P000872;ECOLOGY COLOMBIA SAS;06/15/2018;469283,59;-1877134,36;0
ND-6007;Pagado;Nota de crédito;18/6/2018;#;RET-FP-35624;30/6/2018;#;Sin asignar;P000872;ECOLOGY COLOMBIA SAS;07/12/2018;459425,68;-1837702,72;0
ND-6074;Pagado;Nota de crédito;30/6/2018;#;RET-FP-35696;30/6/2018;#;Sin asignar;P000872;ECOLOGY COLOMBIA SAS;07/17/2018;368165,01;-1840825,05;0
ND-6078;Pagado;Nota de crédito;1/6/2018;#;RET-FP-35700;30/6/2018;#;Sin asignar;P000872;ECOLOGY COLOMBIA SAS;07/17/2018;528918,625;-2115674,5;0
ND-6499;Pagado;Nota de crédito;16/7/2018;#;RET-FP-37611;31/7/2018;#;Sin asignar;P000872;ECOLOGY COLOMBIA SAS;08/10/2018;426757,0575;-1707028,23;0
ND-6605;Pagado;Nota de crédito;30/7/2018;#;RET-FP-37729;31/7/2018;#;Sin asignar;P000872;ECOLOGY COLOMBIA SAS;08/14/2018;498140,1;-1992560,4;0
ND-6751;Pagado;Nota de crédito;16/8/2018;#;RET-FP-37910;16/8/2018;#;Sin asignar;P000872;ECOLOGY COLOMBIA SAS;08/31/2018;434289,7425;-1737158,97;0
ND-7055;Pagado;Nota de crédito;31/8/2018;#;RET-FP-39695;31/8/2018;#;Sin asignar;P000872;ECOLOGY COLOMBIA SAS;09/12/2018;675201,4066666667;-2025604,22;0
ND-7285;Pagado;Nota de crédito;30/9/2018;#;RET-FP-41435;30/9/2018;#;Sin asignar;P000872;ECOLOGY COLOMBIA SAS;10/12/2018;652099,0866666667;-1956297,26;0
ND-7286;Pagado;Nota de crédito;19/9/2018;#;RET-FP-41436;30/9/2018;#;Sin asignar;P000872;ECOLOGY COLOMBIA SAS;10/12/2018;573446,19;-1720338,57;0
ND-7727;Pagado;Nota de crédito;16/10/2018;#;RET-FP-43434;31/10/2018;#;Sin asignar;P000872;ECOLOGY COLOMBIA SAS;11/08/2018;610190,7533333333;-1830572,26;0
ND-8438;Pagado;Nota de crédito;30/11/2018;#;RET-FP-45707;30/11/2018;#;Sin asignar;P000872;ECOLOGY COLOMBIA SAS;12/13/2018;665881,2833333333;-1997643,85;0
ND-8443;Pagado;Nota de crédito;1/11/2018;#;RET-FP-45712;30/11/2018;#;Sin asignar;P000872;ECOLOGY COLOMBIA SAS;12/13/2018;699513,1233333333;-2098539,37;0
ND-8595;Pagado;Nota de crédito;16/11/2018;#;RET-FP-45865;30/11/2018;#;Sin asignar;P000872;ECOLOGY COLOMBIA SAS;12/14/2018;509252,2533333333;-1527756,76;0
ND-8854;Cancelada;Nota de crédito;17/12/2018;#;RET-FP-46164;31/12/2018;#;Sin asignar;P000872;ECOLOGY COLOMBIA SAS;01/04/2019;597620,8333333333;-1792862,5;0
ND-8877;Contabilizada;Nota de crédito;17/12/2018;#;RET-FP-46164;31/12/2018;#;Sin asignar;P000872;ECOLOGY COLOMBIA SAS;01/08/2019;597620,8333333333;1792862,5;0
ND-8878;Pagado;Nota de crédito;17/12/2018;#;RET-FP-48984;31/12/2018;#;Sin asignar;P000872;ECOLOGY COLOMBIA SAS;01/08/2019;597620,8333333333;-1792862,5;0
ND-8938;Pagado;Nota de crédito;31/12/2018;#;RET-FP-49065;31/12/2018;#;Sin asignar;P000872;ECOLOGY COLOMBIA SAS;01/10/2019;608385,5833333333;-1825156,75;0
FP-52466;Pagado;Factura;31/1/2019;#;SM62;31/1/2019;#;Sin asignar;P000872;ECOLOGY COLOMBIA SAS;02/14/2019;5003099,222222222;45027893;0
FP-52693;Pagado;Factura;3/2/2019;#;SM64;3/2/2019;#;Sin asignar;P000872;ECOLOGY COLOMBIA SAS;03/04/2019;4646437,5;37171500;0
FP-52694;Pagado;Factura;18/2/2019;#;SM65;28/2/2019;#;Sin asignar;P000872;ECOLOGY COLOMBIA SAS;03/05/2019;4757855,444444444;42820699;0
FP-52847;Pagado;Factura;28/2/2019;#;SM66;28/2/2019;#;Sin asignar;P000872;ECOLOGY COLOMBIA SAS;03/11/2019;4237336,375;33898691;0
FP-55878;Pagado;Factura;18/1/2019;#;SM68;31/3/2019;#;Sin asignar;P000872;ECOLOGY COLOMBIA SAS;04/09/2019;5263735,25;42109882;0
FP-55960;Pagado;Factura;31/3/2019;#;SM69;31/3/2019;#;Sin asignar;P000872;ECOLOGY COLOMBIA SAS;04/15/2019;4595050;41355450;0
FP-57876;Pagado;Factura;30/4/2019;#;SM72;30/4/2019;#;Sin asignar;P000872;ECOLOGY COLOMBIA SAS;05/11/2019;4289439,358888889;38604954,23;0
FP-57879;Pagado;Factura;16/4/2019;#;SM71;30/4/2019;#;Sin asignar;P000872;ECOLOGY COLOMBIA SAS;05/11/2019;5166285,25;41330282;0
FP-59161;Pagado;Factura;16/5/2019;#;SM74;31/5/2019;#;Sin asignar;P000872;ECOLOGY COLOMBIA SAS;06/05/2019;5039809,06375;40318472,51;0
FP-63850;Pagado;Factura;17/6/2019;#;SM78;30/6/2019;14993;Finalizado;P000872;ECOLOGY COLOMBIA SAS;07/10/2019;101729,5971428571;35605359;0
FP-63868;Cancelada;Factura;6/6/2019;#;SM77;30/6/2019;14998;Finalizado;P000872;ECOLOGY COLOMBIA SAS;07/10/2019;125909,2891436464;45579162,67;0
FP-63869;Contabilizada;Factura;6/6/2019;#;SM77;30/6/2019;14998;Finalizado;P000872;ECOLOGY COLOMBIA SAS;07/10/2019;125909,2891436464;-45579162,67;0
FP-63870;Pagado;Factura;6/6/2019;#;SM77;30/6/2019;14998;Finalizado;P000872;ECOLOGY COLOMBIA SAS;07/10/2019;125909,2891436464;45579162,67;0
FP-63871;Pagado;Factura;30/6/2019;#;SM79;30/6/2019;14995;Finalizado;P000872;ECOLOGY COLOMBIA SAS;07/10/2019;96874,81567567568;35843681,8;0
FP-65849;Pagado;Factura;17/7/2019;#;SM81;31/7/2019;15760;Finalizado;P000872;ECOLOGY COLOMBIA SAS;08/14/2019;134122,1278707224;35274119,63;0
